"Year","Annual","Summer","Autumn","Winter","Spring"
1969,0.65075,0.586,0.717666666666667,0.746666666666667,0.552666666666667
1970,0.727166666666667,0.691333333333333,0.761333333333333,0.777333333333333,0.678666666666667
1971,0.745333333333333,0.717,0.79,0.768,0.706333333333333
1972,0.67825,0.675333333333333,0.749666666666667,0.719666666666667,0.568333333333333
1973,0.733833333333333,0.626666666666667,0.795666666666667,0.826333333333333,0.686666666666667
1974,0.79475,0.734333333333333,0.853666666666667,0.867,0.724
1975,0.806083333333333,0.698,0.869666666666667,0.889333333333333,0.767333333333333
1976,0.735583333333333,0.735,0.817666666666667,0.76,0.629666666666667
1977,0.682166666666667,0.658,0.721333333333333,0.750333333333333,0.599
1978,0.745666666666667,0.675,0.819333333333333,0.812666666666667,0.675666666666667
1979,0.691666666666667,0.611666666666667,0.772,0.734333333333333,0.648666666666667
1980,0.692083333333333,0.654,0.776,0.737333333333333,0.601
1981,0.722083333333333,0.608666666666667,0.759,0.818,0.702666666666667
1982,0.672,0.633333333333333,0.711666666666667,0.739666666666667,0.603333333333333
1983,0.730166666666667,0.645666666666667,0.751666666666667,0.861333333333333,0.662
1984,0.766416666666667,0.670333333333333,0.87,0.824,0.701333333333333
1985,0.737166666666667,0.686333333333333,0.81,0.808666666666667,0.643666666666667
1986,0.694083333333333,0.646,0.765333333333333,0.754,0.611
1987,0.65525,0.571333333333333,0.703,0.763,0.583666666666667
1988,0.776916666666667,0.669,0.811,0.853,0.774666666666667
1989,0.780083333333333,0.741,0.874333333333333,0.811333333333333,0.693666666666667
1990,0.69875,0.685333333333333,0.755333333333333,0.726,0.628333333333333
1991,0.705833333333333,0.597666666666667,0.791333333333333,0.817666666666667,0.616666666666667
1992,0.699,0.620333333333333,0.744666666666667,0.808333333333333,0.622666666666667
1993,0.647,0.58,0.676333333333333,0.723333333333333,0.608333333333333
1994,0.685083333333333,0.633333333333333,0.778,0.745666666666667,0.583333333333333
1995,0.745,0.671,0.769,0.815333333333333,0.724666666666667
1996,0.82225,0.762666666666667,0.809666666666667,0.931,0.785666666666667
1997,0.70375,0.721666666666667,0.757,0.747,0.589333333333333
1998,0.742583333333333,0.583333333333333,0.806333333333333,0.851666666666667,0.729
1999,0.875416666666667,0.798,0.995666666666667,0.921,0.787
2000,0.85225,0.796,0.952666666666667,0.908666666666667,0.751666666666667
2001,0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667
2002,0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667
2003,0.741416666666667,0.678333333333333,0.834333333333333,0.794,0.659
2004,0.743083333333333,0.704,0.793333333333333,0.802666666666667,0.672333333333333
2005,0.76,0.658333333333333,0.835666666666667,0.837333333333333,0.708666666666667
2006,0.752666666666667,0.677666666666667,0.836333333333333,0.819,0.677666666666667
2007,0.77725,0.706,0.8,0.876666666666667,0.726333333333333
2008,0.857916666666667,0.800666666666667,0.959333333333333,0.897333333333333,0.774333333333333
2009,0.806833333333333,0.767333333333333,0.880333333333333,0.862,0.717666666666667
2010,0.797083333333333,0.746333333333333,0.808666666666667,0.845666666666667,0.787666666666667
2011,0.926,0.968666666666667,0.998,0.911333333333333,0.826
2012,0.89525,0.917,0.999666666666667,0.887,0.777333333333333
