"Year","WestSST_Annual","WestSST_Winter","WestSST_Spring","SST_West_Months_Jun","SST_West_Months_Jul","SST_West_Months_Sep","SST_West_Months_Oct","LagWestSST_Spring","LagSST_West_Months_Oct","LagSST_West_Months_Nov","LagSST_West_Months_Dec","FinWestSST_AnnEsts","FinWestSST_SummerDat","FinWestSST_SpringDat","LagFinWestSST_AnnEsts","LagFinWestSST_SpringDat","FSLdat_Spring","FSL_months_Apr","FinFSLdat_AnnEsts"
1970,19.5491666666667,18.6233333333333,18.3333333333333,18.9,18.79,18.04,18.43,18.3333333333333,17.51,17.98,19.41,19.7833333333333,20.5066666666667,17.7633333333333,19.7833333333333,17.7633333333333,0.678666666666667,0.728,0.741916666666667
1971,19.6125,18.6566666666667,17.7633333333333,18.82,19.11,17.8,17.51,17.7633333333333,17.97,18.71,20.62,19.6333333333333,21.02,18.0166666666667,19.6333333333333,18.0166666666667,0.706333333333333,0.777,0.718833333333333
1972,19.6725,18.2033333333333,18.0166666666667,18.96,18.14,17.37,17.97,18.0166666666667,18.22,18.42,19.93,19.565,20.69,18.25,19.565,18.25,0.568333333333333,0.769,0.6765
1973,19.5841666666667,18.44,18.25,19.45,18.01,18.11,18.22,18.25,18.04,18.96,19.63,19.6291666666667,21.3033333333333,18.3466666666667,19.6291666666667,18.3466666666667,0.686666666666667,0.804,0.7805
1974,19.6358333333333,18.27,18.3466666666667,18.85,18.12,18.04,18.04,18.3466666666667,18.87,19.71,20.79,19.7858333333333,20.9466666666667,18.87,19.7858333333333,18.87,0.724,0.832,0.789166666666667
1975,20.1266666666667,19.07,18.87,19.89,19.02,18.03,18.87,18.87,18.69,18.52,19.56,20.1616666666667,20.9066666666667,18.5433333333333,20.1616666666667,18.5433333333333,0.767333333333333,0.865,0.7975
1976,20.0241666666667,19.23,18.5433333333333,19.81,19.05,18.42,18.69,18.5433333333333,18.94,18.55,20.71,19.5291666666667,21.2166666666667,18.5033333333333,19.5291666666667,18.5033333333333,0.629666666666667,0.834,0.69525
1977,19.5433333333333,18.5166666666667,18.5033333333333,18.53,18.89,18.02,18.94,18.5033333333333,18.37,19.95,20.8,20.2508333333333,20.6366666666667,18.81,20.2508333333333,18.81,0.599,0.718,0.709
1978,20.3633333333333,19.0933333333333,18.81,19.92,18.79,18.11,18.37,18.81,18.57,19.97,20.21,20,21.4733333333333,18.77,20,18.77,0.675666666666667,0.817,0.720583333333333
1979,19.9708333333333,19.1266666666667,18.77,19.66,19.11,17.77,18.57,18.77,18.08,18.9,19.63,20.185,21.0433333333333,18.3566666666667,20.185,18.3566666666667,0.648666666666667,0.767,0.699583333333333
1980,19.9991666666667,19.0166666666667,18.3566666666667,19.74,18.85,18.09,18.08,18.3566666666667,18.47,18.63,19.29,19.8716666666667,21.22,18.2366666666667,19.8716666666667,18.2366666666667,0.601,0.818,0.679583333333333
1981,19.7141666666667,18.55,18.2366666666667,19.53,18.48,17.61,18.47,18.2366666666667,18.07,19.51,20.81,19.5316666666667,20.67,18.5966666666667,19.5316666666667,18.5966666666667,0.702666666666667,0.777,0.718916666666667
1982,19.84,18.95,18.5966666666667,19.63,18.93,18.21,18.07,18.5966666666667,20.25,19.95,20.58,20.4491666666667,20.32,19.75,20.4491666666667,19.75,0.603333333333333,0.701,0.690833333333333
1983,20.76,19.5366666666667,19.75,20.89,18.76,19.05,20.25,19.75,19.26,19.49,20.16,20.6891666666667,21.55,19.1766666666667,20.6891666666667,19.1766666666667,0.662,0.821,0.7675
1984,20.6425,20.1466666666667,19.1766666666667,21.14,19.86,18.78,19.26,19.1766666666667,18.66,18.94,19.84,20.3966666666667,21.7633333333333,18.9233333333333,20.3966666666667,18.9233333333333,0.701333333333333,0.879,0.753583333333333
1985,20.1541666666667,19.2233333333333,18.9233333333333,20.2,18.92,19.17,18.66,18.9233333333333,17.91,18.15,19.29,20.0175,20.9366666666667,18.0266666666667,20.0175,18.0266666666667,0.643666666666667,0.873,0.717416666666667
1986,19.7633333333333,19.33,18.0266666666667,20.33,19.33,18.02,17.91,18.0266666666667,18.85,19.53,19.84,19.7341666666667,20.9266666666667,19.02,19.7341666666667,19.02,0.611,0.713,0.655583333333333
1987,20.145,19.71,19.02,20.07,20.02,18.68,18.85,19.02,19.66,19.4,20.49,20.5575,20.0233333333333,19.43,20.5575,19.43,0.583666666666667,0.738,0.70475
1988,20.7025,19.84,19.43,20.6,19.55,19.23,19.66,19.43,18.19,19.73,20.72,20.8975,21.1633333333333,18.9133333333333,20.8975,18.9133333333333,0.774666666666667,0.795,0.811833333333333
1989,20.7966666666667,19.6033333333333,18.9133333333333,19.78,19.89,18.82,18.19,18.9133333333333,18.09,19.57,19.9,20.4066666666667,21.81,18.7566666666667,20.4066666666667,18.7566666666667,0.693666666666667,0.907,0.729083333333333
1990,20.1675,18.9933333333333,18.7566666666667,19.53,18.56,18.61,18.09,18.7566666666667,18.95,18.57,19.96,20.2266666666667,21.2533333333333,18.92,20.2266666666667,18.92,0.628333333333333,0.753,0.698333333333333
1991,20.3016666666667,19.63,18.92,21.09,18.96,19.24,18.95,18.92,18.17,19.06,20.15,20.1933333333333,21.04,18.6166666666667,20.1933333333333,18.6166666666667,0.616666666666667,0.837,0.701416666666667
1992,20.1266666666667,19.0566666666667,18.6166666666667,19.45,18.8,18.62,18.17,18.6166666666667,18,19.1,20.01,19.8425,21.1433333333333,18.4533333333333,19.8425,18.4533333333333,0.622666666666667,0.766,0.661833333333333
1993,19.7366666666667,19.0733333333333,18.4533333333333,20.14,18.83,18.26,18,18.4533333333333,18.85,19.77,20.87,20.22,20.6033333333333,19.2433333333333,20.22,19.2433333333333,0.608333333333333,0.672,0.684416666666667
1994,20.69,19.9266666666667,19.2433333333333,20.29,20.1,19.11,18.85,19.2433333333333,18.85,19.81,20.39,20.6808333333333,21,19.1766666666667,20.6808333333333,19.1766666666667,0.583333333333333,0.777,0.685
1995,20.5208333333333,19.4066666666667,19.1766666666667,19.97,19.35,18.87,18.85,19.1766666666667,19.03,20.23,21.07,20.6658333333333,21.58,19.46,20.6658333333333,19.46,0.724666666666667,0.785,0.7955
1996,20.8183333333333,19.8966666666667,19.46,21.14,19.56,19.12,19.03,19.46,19.57,19.28,20.92,20.7,21.52,19.31,20.7,19.31,0.785666666666667,0.828,0.796166666666667
1997,20.6616666666667,19.5666666666667,19.31,20.01,19.69,19.08,19.57,19.31,18.52,20.04,20.34,20.8508333333333,21.83,19.4066666666667,20.8508333333333,19.4066666666667,0.589333333333333,0.796,0.679333333333333
1998,20.9283333333333,20.4333333333333,19.4066666666667,21.39,20.64,19.66,18.52,19.4066666666667,19.04,19.93,21.51,20.9391666666667,21.5666666666667,19.4,20.9391666666667,19.4,0.729,0.796,0.834333333333333
1999,21.0466666666667,20.5666666666667,19.4,21.65,20.47,19.23,19.04,19.4,19.25,19.76,20.58,21.0666666666667,21.14,19.3533333333333,21.0666666666667,19.3533333333333,0.787,1.027,0.882166666666667
2000,20.8933333333333,19.7866666666667,19.3533333333333,20.32,19.92,19.05,19.25,19.3533333333333,18.81,19.39,20.17,20.6616666666667,22.3366666666667,19.0166666666667,20.6616666666667,19.0166666666667,0.751666666666667,1.016,0.809666666666667
2001,20.5475,19.87,19.0166666666667,20.52,19.94,18.85,18.81,19.0166666666667,17.67,19.03,20.2,20.3383333333333,21.5066666666667,18.41,20.3383333333333,18.41,0.683666666666667,0.864,0.738333333333333
2002,20.1408333333333,19.6033333333333,18.41,20.3,19.63,18.53,17.67,18.41,17.97,19.24,20.11,20.2833333333333,20.8566666666667,18.41,20.2833333333333,18.41,0.598666666666667,0.765,0.731083333333333
2003,20.2441666666667,19.5166666666667,18.41,20.42,19.15,18.02,17.97,18.41,18.03,19.46,20.54,20.2566666666667,21.17,18.63,20.2566666666667,18.63,0.659,0.813,0.7345
2004,20.4341666666667,19.8566666666667,18.63,20.4,20.25,18.4,18.03,18.63,17.93,18.82,19.66,20.3233333333333,21.0533333333333,18.34,20.3233333333333,18.34,0.672333333333333,0.819,0.744
2005,20.0916666666667,19.6266666666667,18.34,20.74,19.48,18.27,17.93,18.34,18.5,19.88,20.55,20,20.89,19.02,20,19.02,0.708666666666667,0.774,0.764833333333333
